Quantity,Name
1,"Atraxa, Praetors' Voice"
1,"Ajani, Sleeper Agent"
1,Arcane Sanctum
1,Astral Cornucopia
1,Blighted Agent
1,Bloated Contaminator
1,Cankerbloom
1,Contagion Engine
1,Contaminant Grafter
1,Contentious Plan
1,Dreamtide Whale
1,Evolution Sage
1,Glistening Sphere
1,Godless Shrine
1,Hallowed Fountain
1,Ichor Rats
1,Indatha Triome
1,Infectious Bite
1,"Ixhel, Scion of Atraxa"
1,Marsh Flats
1,Metastatic Evangel
1,Misty Rainforest
1,Necrogen Communion
1,Norn's Choirmaster
1,Norn's Decree
1,Overgrown Tomb
1,Phyresis Outbreak
1,Phyrexian Swarmlord
1,Plague Myr
1,Plague Stinger
1,Prologue to Phyresis
1,Raffine's Tower
1,Sandsteppe Citadel
1,Seaside Citadel
1,Skrelv's Hive
1,"Skrelv, Defector Mite"
1,Spara's Headquarters
1,Tainted Observer
1,Tainted Strike
1,Temple Garden
1,Tezzeret's Gambit
1,The Seedcore
1,Thirsting Roots
1,Venerated Rotpriest
1,Verdant Catacombs
1,Viridian Corrupter
1,"Vishgraz, the Doomhive"
1,"Vorinclex, Monstrous Raider"
1,"Vraska, Betrayal's Sting"
1,White Sun's Twilight
1,Windswept Heath
1,Zagoth Triome
