Quantity,Name
,"Galadriel, Light of Valinor"
1,"Aragorn and Arwen, Wed"
1,Arboreal Alliance
1,Arcane Signet
1,Arwen Undómiel
1,"Arwen, Weaver of Hope"
1,Beast Whisperer
1,Beast Within
1,Birds of Paradise
1,Bountiful Promenade
1,Breeding Pool
1,Canopy Vista
1,Command Tower
1,Counterspell
1,Cultivate
1,Cyclonic Rift
1,Doubling Season
1,"Elrond, Master of Healing"
1,Elven Chorus
1,Elvish Archdruid
1,Elvish Harbinger
1,Elvish Mystic
1,Elvish Visionary
1,Elvish Warmaster
1,Eternal Witness
1,Evolution Witness
1,Exotic Orchard
1,"Ezuri, Renegade Leader"
1,Farhaven Elf
1,Farseek
1,Flooded Grove
9,Forest
1,"Freyalise, Llanowar's Fury"
1,Fyndhorn Elves
1,Gala Greeters
1,Galadhrim Ambush
1,Galadhrim Brigade
1,Galadriel of Lothlórien
1,Galadriel's Dismissal
1,Generous Gift
1,Glacial Fortress
1,Guardian Project
1,"Haldir, Lórien Lieutenant"
1,Hallowed Fountain
1,Hardened Scales
1,Heroic Intervention
1,Hinterland Harbor
1,Imperious Perfect
1,Incubation Druid
1,Inspiring Call
2,Island
1,"Koma, Cosmos Serpent"
1,Leaf-Crowned Visionary
1,Lightning Greaves
1,Llanowar Elves
1,"Marwyn, the Nurturer"
1,Mists of Lórien
1,Misty Rainforest
1,Noble Hierarch
1,Overwhelming Stampede
1,Panharmonicon
1,Paradise Druid
1,Path of Ancestry
1,Path to Exile
1,Plains
1,Prairie Stream
1,Priest of Titania
1,Raise the Palisade
1,Rally the Galadhrim
1,Rampant Growth
1,Reclamation Sage
1,Rejuvenating Springs
1,Reliquary Tower
1,Rhys the Redeemed
1,Rhystic Study
1,Rumor Gatherer
1,Sea of Clouds
1,Seaside Citadel
1,Sol Ring
1,Spara's Headquarters
1,Sunpetal Grove
1,Swan Song
1,Swiftfoot Boots
1,Swords to Plowshares
1,Temple Garden
1,The Great Henge
1,Tribute to the World Tree
1,Windswept Heath
1,Windswift Slice
1,Wolverine Riders
1,Wood Elves
