Quantity,Name
1,Arwen Undómiel
1,"Arwen, Weaver of Hope"
1,Birds of Paradise
1,Bountiful Promenade
1,Doubling Season
1,"Elrond, Master of Healing"
1,Elven Chorus
1,Elvish Archdruid
1,Elvish Harbinger
1,Elvish Visionary
1,Elvish Warmaster
1,"Ezuri, Renegade Leader"
1,Farhaven Elf
1,Flooded Grove
1,"Freyalise, Llanowar's Fury"
1,Gala Greeters
1,Galadhrim Ambush
1,Galadriel of Lothlórien
1,Glacial Fortress
1,"Haldir, Lórien Lieutenant"
1,Hallowed Fountain
1,Imperious Perfect
1,Incubation Druid
1,"Koma, Cosmos Serpent"
1,Leaf-Crowned Visionary
1,Misty Rainforest
1,Noble Hierarch
1,Overwhelming Stampede
1,Panharmonicon
1,Paradise Druid
1,Prairie Stream
1,Priest of Titania
1,Raise the Palisade
1,Rejuvenating Springs
1,Rhys the Redeemed
1,Rumor Gatherer
1,Sea of Clouds
1,Seaside Citadel
1,Spara's Headquarters
1,Swan Song
1,Temple Garden
1,The Great Henge
1,Tribute to the World Tree
1,Windswept Heath
1,Windswift Slice
1,Wolverine Riders
1,Wood Elves
