Quantity,Name
,"Galadriel, Light of Valinor"
1,Arboreal Alliance
1,Arcane Signet
1,Beast Whisperer
1,Beast Within
1,Breeding Pool
1,Canopy Vista
1,Command Tower
1,Counterspell
1,Cultivate
1,Cyclonic Rift
1,Elvish Mystic
1,Eternal Witness
1,Evolution Witness
1,Exotic Orchard
1,Farseek
9,Forest
1,Fyndhorn Elves
1,Galadhrim Brigade
1,Galadriel's Dismissal
1,Generous Gift
1,Guardian Project
1,Hardened Scales
1,Heroic Intervention
1,Hinterland Harbor
1,Inspiring Call
2,Island
1,"Kutzil, Malamet Exemplar"
1,Lightning Greaves
1,Mists of Lórien
1,Noble Hierarch
1,Path of Ancestry
1,Path to Exile
1,Plains
1,Rally the Galadhrim
1,Rampant Growth
1,Reliquary Tower
1,Rhystic Study
1,Sol Ring
1,Sunpetal Grove
1,Swiftfoot Boots
1,Swords to Plowshares
