Quantity,Name
1,Aetherflux Reservoir
1,Ancient Tomb
1,Animate Dead
1,Asmodeus the Archfiend
1,Balthor the Defiled
1,Beseech the Mirror
1,Beseech the Queen
1,Blood Celebrant
1,Blood Pet
1,Cabal Coffers
1,Cabal Ritual
1,"Chainer, Dementia Master"
1,Chrome Mox
1,Culling the Weak
1,Dark Petition
1,Dauthi Voidwalker
1,Deadly Rollick
1,Dismember
1,Final Parting
1,Fleshwrither
1,Font of Agonies
1,Grim Tutor
1,Hoarding Broodlord
1,Mana Vault
1,Necromancy
1,Necropotence
1,Necrotic Ooze
1,"Nykthos, Shrine to Nyx"
1,Opposition Agent
1,Orcish Bowmasters
1,Pontiff of Blight
1,Professor Onyx
1,"Razaketh, the Foulblooded"
1,Sacrifice
1,Sensei's Divining Top
1,"Sheoldred, the Apocalypse"
1,Toxic Deluge
1,"Urborg, Tomb of Yawgmoth"
1,Vampiric Tutor
1,Vile Entomber
1,"Vilis, Broker of Blood"
