Quantity,Name
,"K'rrik, Son of Yawgmoth"
1,Arcane Signet
1,Bojuka Bog
1,Bolas's Citadel
1,Bontu's Monument
1,Buried Alive
1,Cabal Stronghold
1,Consuming Corruption
1,Crypt Ghast
1,Dark Ritual
1,Defile
1,Demonic Tutor
1,Diabolic Tutor
1,Dimir House Guard
1,Dread Presence
1,Entomb
1,Exquisite Blood
1,Exsanguinate
1,Feed the Swarm
1,Gray Merchant of Asphodel
1,Imp's Mischief
1,Jet Medallion
1,Lightning Greaves
1,Lotus Petal
1,Mind Stone
1,Peer into the Abyss
1,Phyrexian Arena
1,Reanimate
1,Reliquary Tower
1,Sanguine Bond
1,Sign in Blood
1,Skirge Familiar
1,Sol Ring
24,Swamp
1,Swiftfoot Boots
1,"Vito, Thorn of the Dusk Rose"
