Quantity,Name
,The Ur-Dragon
1,Ancient Copper Dragon
1,Ancient Gold Dragon
1,Ancient Silver Dragon
1,Arid Mesa
1,"Atarka, World Render"
1,Balefire Dragon
1,Bladewing the Risen
1,Blood Crypt
1,Crucible of the Spirit Dragon
1,Crux of Fate
1,Decadent Dragon
1,Dragon Tempest
1,Dragon's Hoard
1,Dragonlord Dromoka
1,Dragonspeaker Shaman
1,Fellwar Stone
1,Goldspan Dragon
1,Hallowed Fountain
1,Haven of the Spirit Dragon
1,Hellkite Courser
1,Indatha Triome
1,Jetmir's Garden
1,Ketria Triome
1,"Klauth, Unrivaled Ancient"
1,"Lathliss, Dragon Queen"
1,Leyline of the Guildpact
1,"Miirym, Sentinel Wyrm"
1,Misty Rainforest
1,"Morophon, the Boundless"
1,Old Gnawbone
1,Orb of Dragonkind
1,Overgrown Tomb
1,"Ramos, Dragon Engine"
1,"Rith, Liberated Primeval"
1,Rivaz of the Claw
1,Sarkhan Unbroken
1,Sarkhan's Triumph
1,"Sarkhan, Soul Aflame"
1,Savage Ventmaw
1,Scalding Tarn
1,Scalelord Reckoner
1,Scion of Draco
1,Scion of the Ur-Dragon
1,Scourge of Valkas
1,"Silumgar, the Drifting Death"
1,Steam Vents
1,Teferi's Protection
1,Temple Garden
1,Temur Ascendancy
1,Terror of the Peaks
1,The World Tree
1,Three Tree City
1,Tiamat
1,Two-Headed Hellkite
1,Urza's Incubator
1,Utvara Hellkite
1,Verdant Catacombs
1,Windswept Heath
1,Wooded Foothills
1,Zagoth Triome
1,Ziatora's Proving Groun
