Quantity,Name
1,Arcane Signet
1,Breeding Pool
1,Cavern of Souls
1,Chromatic Lantern
1,Command Tower
1,Cultivate
1,Cyclonic Rift
1,Dragonlord's Servant
1,Exotic Orchard
1,Farseek
1,Forest
1,Garruk's Uprising
1,Gluttonous Hellkite
1,Herald's Horn
1,Heroic Intervention
1,Island
1,Kodama's Reach
1,Lightning Greaves
1,Monstrous Vortex
2,Mountain
1,Nature's Lore
1,Path of Ancestry
1,Plains
1,Rampant Growth
1,Rhythm of the Wild
1,Roaming Throne
1,Sacred Foundry
1,Secluded Courtyard
1,Smothering Tithe
1,Smuggler's Surprise
1,Sol Ring
1,Stomping Ground
1,Swamp
1,Swords to Plowshares
1,Three Visits
1,Unclaimed Territory
1,Watery Grave
