Quantity,Name
,"Wilhelt, the Rotcleaver"
1,Accursed Marauder
1,Arcane Signet
1,Ashnod's Altar
1,Bojuka Bog
1,Choked Estuary
1,Command Tower
1,Commander's Sphere
1,Counterspell
1,Dark Ritual
1,Darkwater Catacombs
1,Dimir Aqueduct
1,Dimir Signet
1,Distant Melody
1,Dreadhorde Invasion
1,Drowned Catacomb
1,Exotic Orchard
1,Feed the Swarm
1,Fleshbag Marauder
1,Go for the Throat
1,Gray Merchant of Asphodel
4,Island
1,"Liliana, Death's Majesty"
1,Mortuary Mire
1,Myriad Landscape
1,Path of Ancestry
1,Sol Ring
1,Sunken Hollow
13,Swamp
1,Tainted Isle
1,Talisman of Dominance
1,Temple of Deceit
1,Unclaimed Territory
1,Victimize
1,Watery Grave
